kost_name_rough,kota,type_kos,area,facility_score,harga_nomina
Kost Ohana Eksklusif Tipe E Semarang Tengah,semarang,putri,semarang tengah,4,850000
Kost Sadewa 5 Semarang Tengah,semarang,putra,semarang tengah,2,550000
Kost Adama Rejosari Semarang,semarang,putra,semarang timur,4,550000
Kost Via Semarang Tengah,semarang,putri,semarang tengah,6,800000
Kost Cita Tipe A Semarang Tengah,semarang,putri,semarang tengah,4,550000
Kost Cita Tipe D Semarang Tengah,semarang,putri,semarang tengah,4,750000
Kost Cita Tipe E Semarang Tengah,semarang,putri,semarang tengah,6,800000
Kost Putri 68 51 Tipe C Semarang Tengah,semarang,putri,semarang tengah,0,650000
Kost Seven Days Tipe B Semarang Utara,semarang,putri,semarang utara,2,1500000
Kost  Semarang Tengah Kota,semarang,campur,semarang tengah,0,600000
Kost Andita Semarang Utara,semarang,putri,semarang utara,4,550000
Kost Megumi Semarang Utara,semarang,putri,semarang utara,4,600000
Kost Elite 471 Tipe B Semarang Tengah,semarang,putri,semarang tengah,2,600000
Kost Elite 471 Tipe C Semarang Tengah,semarang,putri,semarang tengah,4,1300000
Kost Rumah Wotgandul 92F Semarang,semarang,campur,semarang tengah,2,1200000
Kost Amarantha Boarding House Semarang Timur,semarang,putri,semarang timur,6,700000
Kost Bu dian Tipe B Semarang Utara,semarang,campur,semarang utara,0,500000
Kost Bu Dian Tipe A Semarang Utara,semarang,campur,semarang utara,0,400000
Kost Ibu Cynthia Pedurungan Semarang,semarang,putra,pedurungan,4,400000
Kost Eksklusif Orenz House Semarang,semarang,campur,pedurungan,6,1100000
Kost Jeruk Timur II/1 Semarang Selatan,semarang,campur,semarang selatan,6,1100000
Kost Putri Bu Siti Pedurungan Semarang,semarang,putri,pedurungan,2,800000
Kost Rumah SB77 Semarang Selatan,semarang,campur,semarang selatan,4,1500000
Kost Puri Classic Pedurungan Semarang,semarang,campur,pedurungan,0,800000
Kost Lamper Tengah Tipe B Semarang Selatan,semarang,putra,semarang selatan,2,500000
Kost Kimar III Tipe C Gayamsari Semarang,semarang,campur,gayamsari,2,1400000
Kost Kimar III Tipe B Gayamsari Semarang,semarang,campur,gayamsari,0,1400000
Kost Olieana Resident Pedurungan Semarang,semarang,campur,pedurungan,6,1500000
Kost Griya Adidas Tipe A Pedurungan Semarang,semarang,campur,pedurungan,2,600000
Kost Griya Adidas Tipe B Pedurungan Semarang,semarang,campur,pedurungan,4,650000
Kost Griya Adidas Tipe D Pedurungan Semarang,semarang,campur,pedurungan,4,950000
Kost Griya Adidas Tipe E Pedurungan Semarang,semarang,campur,pedurungan,4,1100000
Kost Griya Adidas Tipe F Pedurungan Semarang,semarang,campur,pedurungan,4,1100000
Kost Sky Pedurungan Semarang,semarang,campur,pedurungan,4,700000
Kost Sky Tipe 2 Pedurungan Semarang,semarang,campur,pedurungan,2,500000
Kost Irawan Semarang Selatan,semarang,putri,semarang selatan,2,400000
Kost Bu Mujib Gayamsari Semarang,semarang,putri,gayamsari,2,450000
Kost Wolter Monginsidi Tipe A Genuk Semarang,semarang,putra,genuk,2,600000
Kost Wolter Monginsidi Tipe B Genuk Semarang,semarang,putra,genuk,2,450000
Kost Raharjo Genuk Semarang,semarang,putri,genuk,6,663000
Kost Genuk Indah F785 Genuk Semarang,semarang,putri,genuk,4,500000
Kost Genuk Indah Tipe A Genuk Semarang,semarang,putri,genuk,6,750000
Kost Genuk Indah Tipe B Semarang,semarang,campur,genuk,4,1050000
Kost Ngablak Indah Genuk Semarang,semarang,putra,genuk,2,400000
Kost Mahasiswi Unisula Genuk Semarang,semarang,putri,genuk,2,350000
Kost Ria Jw Tipe A Genuk Semarang,semarang,putri,genuk,4,550000
Kost Eyang Uti Genuk Semarang,semarang,campur,genuk,4,1300000
Kost Double D Tipe A Genuk Semarang,semarang,putri,genuk,4,500000
Kost Double D Tipe B Genuk Semarang,semarang,putri,genuk,4,550000
Kost Griya Rotussia Tipe A Genuk Semarang,semarang,putri,genuk,6,950000
Kost Griya Rotussia Tipe B Genuk Semarang,semarang,putri,genuk,6,900000
Kost Griya Rotussia Tipe C Genuk Semarang,semarang,putri,genuk,6,750000
Kost Avi Genuk Semarang,semarang,putri,genuk,6,1250000
Kost Bugen Genuk Semarang,semarang,putri,genuk,0,500000
Kost Griya Albylla Genuk Semarang,semarang,putri,genuk,6,1200000
Kost Agus Salim Semarang Tengah Semarang,semarang,putri,semarang tengah,4,1500000
Kost Anugerah Jl Citarum Tengah No 1 Tipe C Semarang,semarang,putri,semarang timur,4,1200000
Kost Altaf Putra Tipe A Purwosari Rejosari Semarang Timur,semarang,campur,semarang timur,6,1000000
