texts,kota,type_kos,area,fasilitas,harga_nomina
"Kos Andalan
 
	Putra
    
				Kost Pandean Tipe B Semarang Selatan
			  Semarang Selatan 
				WiFi · Akses 24 Jam
			     
							Rp 1.000.000
						 
							/ bulan",semarang,Putra,Semarang Selatan,"['WiFi','Akses 24 Jam']",1000000
"Putri
 
	Sisa 1 Kamar
   
				Kost A 91 Genuk Semarang 
			  Genuk 
				K. Mandi Dalam · WiFi · Akses 24 Jam
			     
							Rp 1.200.000
						 
							/ bulan",semarang,Putri,Genuk,"['K. Mandi Dalam ', ' WiFi ', ' Akses 24 Jam']",1200000
"Campur
    
				Kost Nugimaya Semarang Tengah
			  Semarang Tengah 
				K. Mandi Dalam
			     
							Rp 650.000
						 
							/ bulan",semarang,Campur,Semarang Tengah,['K. Mandi Dalam'],650000
"Kos Andalan
 
	Putra
    
				Kost Pandean Tipe C Semarang Selatan
			  Semarang Selatan 
				WiFi · Akses 24 Jam
			     
							Rp 750.000
						 
							/ bulan",semarang,Putra,Semarang Selatan,"['WiFi','Akses 24 Jam']",750000
"Kos Andalan
 
	Putri
    
				Kost Griya Tipe A Gayamsari Semarang
			  Gayamsari 
				WiFi · Akses 24 Jam
			     
							Rp 1.000.000
						 
							/ bulan",semarang,Putri,Gayamsari,"['WiFi','Akses 24 Jam']",1000000
"Campur
 
	Sisa 1 Kamar
   
				Kost Medoho Dpavillion Gayamsari Semarang
			  Gayamsari 
				K. Mandi Dalam · WiFi · Akses 24 Jam
			     
							Rp 1.700.000
						 
							/ bulan",semarang,Campur,Gayamsari,"['K. Mandi Dalam ', ' WiFi ', ' Akses 24 Jam']",1700000
"Kos Andalan
 
	Putri
    
				Kost Rumah Siwalan Ganyamsari Semarang
			  Gayamsari 
				K. Mandi Dalam · WiFi · Akses 24 Jam
			     
							Rp 1.000.000
						 
							/ bulan",semarang,Putri,Gayamsari,"['K. Mandi Dalam','WiFi','Akses 24 Jam']",1000000
"Kos Andalan
 
	Putra
    
				Kost At Tipe B Semarang Tengah
			  Semarang Tengah 
				WiFi
			     
							Rp 1.000.000
						 
							/ bulan",semarang,Putra,Semarang Tengah,['WiFi'],1000000
"Putri
    
				Kost Avi Genuk Semarang
			  Genuk 
				K. Mandi Dalam · WiFi · Akses 24 Jam
			     
							Rp 1.250.000
						 
							/ bulan",semarang,Putri,Genuk,"['K. Mandi Dalam','WiFi','Akses 24 Jam']",1250000
"Campur
 
	Sisa 2 Kamar
   
				Kost Rejosari Semarang Timur
			  Semarang Timur 
				WiFi · Akses 24 Jam
			     
							Rp 450.000
						 
							/ bulan
						  2.3",semarang,Campur,Semarang Timur,"['WiFi ', ' Akses 24 Jam']",450000
"Campur
 
	Sisa 2 Kamar
   
				Kost Senjoyo Dalam Semarang Timur
			  Semarang Timur 
				K. Mandi Dalam · WiFi
			     
							Rp 2.100.000
						 
							/ bulan",semarang,Campur,Semarang Timur,"['K. Mandi Dalam ', ' WiFi']",2100000
"Putri
 
	Sisa 3 Kamar
   
				Kost Anugerah Jl Citarum Tengah No 1 Tipe A Semarang
			  Semarang Timur 
				WiFi
			     
							Rp 750.000
						 
							/ bulan",semarang,Putri,Semarang Timur,['WiFi'],750000
"Putri
 
	Sisa 1 Kamar
   
				Kost Wisma DS Semarang Timur
			  Semarang Timur 
				K. Mandi Dalam · WiFi
			     
							Rp 1.000.000
						 
							/ bulan",semarang,Putri,Semarang Timur,"['K. Mandi Dalam ', ' WiFi']",1000000
"Campur
 
	Sisa 1 Kamar
   
				Kost Omah Kartini Semarang
			  Semarang Timur 
				
			     
							Rp 200.000
						 
							/ bulan",semarang,Campur,Semarang Timur,[''],200000
"Campur
 
	Sisa 3 Kamar
   
				Kost Senjoyo Dalam Single Room Semarang Timur 
			  Semarang Timur 
				WiFi
			     
							Rp 1.200.000
						 
							/ bulan",semarang,Campur,Semarang Timur,['WiFi'],1200000
"Putri
    
				Kost Belakang Rumah Mami Semarang Timur
			  Semarang Timur 
				Akses 24 Jam
			     
							Rp 500.000
						 
							/ bulan",semarang,Putri,Semarang Timur,['Akses 24 Jam'],500000
"Campur
 
	Sisa 3 Kamar
   
				Kost Griya Rejosari Semarang Timur
			  Semarang Timur 
				K. Mandi Dalam · WiFi
			     
							Rp 1.500.000
						 
							/ bulan",semarang,Campur,Semarang Timur,"['K. Mandi Dalam ', ' WiFi']",1500000
"Putri
 
	Sisa 2 Kamar
   
				Kost Rejosari Tengah Semarang Timur
			  Semarang Timur 
				WiFi
			     
							Rp 550.000
						 
							/ bulan",semarang,Putri,Semarang Timur,['WiFi'],550000
"Putri
 
	Sisa 1 Kamar
   
				Kost Bu Maya Semarang Timur
			  Semarang Timur 
				
			     
							Rp 500.000
						 
							/ bulan",semarang,Putri,Semarang Timur,[''],500000
